0 1 2
1 23 188
2 122 141
3 112 84
4 18 127
5 32 28
6 139 21
7 23 143
8 43 13
9 161 57
10 99 143
11 59 22
12 118 23
13 76 178
14 104 79
15 100 139
16 62 137
17 60 58
18 177 84
19 46 97
20 178 21
21 198 131
22 144 90
23 0 8
24 70 104
25 36 37
26 30 178
27 38 188
28 189 110
29 96 45
30 129 44
31 77 69
32 104 52
33 46 96
34 194 23
35 186 95
36 56 35
37 194 118
38 35 49
39 69 16
40 194 47
41 104 188
42 2 122
43 88 62
44 192 50
45 158 10
46 52 180
47 133 80
48 89 62
49 98 138
50 5 147
51 46 53
52 84 38
53 148 192
54 49 39
55 48 4
56 32 174
57 130 18
58 111 94
59 164 103
60 21 39
61 99 9
62 174 107
63 108 74
64 85 66
65 149 20
66 27 31
67 138 177
68 44 185
69 62 29
70 15 18
71 49 81
72 101 83
73 129 87
74 117 184
75 76 25
76 66 126
77 50 17
78 53 194
79 198 111
80 137 33
81 144 125
82 122 75
83 118 127
84 113 142
85 136 97
86 48 111
87 78 99
88 40 160
89 83 134
90 27 105
91 166 153
92 139 93
93 21 43
94 192 154
95 95 75
96 67 116
97 35 64
98 77 184
99 54 43
100 32 153
101 156 152
102 26 41
103 22 67
104 72 190
105 127 87
106 11 100
107 176 1
108 196 65
109 155 180
110 58 9
111 187 173
112 184 55
113 179 58
114 90 2
115 76 197
116 166 29
117 188 179
118 4 155
119 130 170
120 124 110
121 145 60
122 0 83
123 7 130
124 154 62
125 84 56
126 194 141
127 94 183
128 198 107
129 42 127
130 161 7
131 197 130
132 103 64
133 102 135
134 169 56
135 71 166
136 123 126
137 14 51
138 179 70
139 98 97
140 120 3
141 185 155
142 106 33
143 132 53
144 87 31
145 83 184
146 192 14
147 174 197
148 152 141
149 48 55
150 56 184
151 120 53
152 170 11
153 138 119
154 98 84
155 103 121
156 172 33
157 47 52
158 117 15
159 154 190
160 153 96
161 185 198
162 187 183
163 45 50
164 181 83
165 5 107
166 67 84
167 195 109
168 193 57
169 168 6
170 67 33
171 181 100
172 189 21
173 66 90
174 137 101
175 137 127
176 85 15
177 114 131
178 107 19
179 138 34
180 193 129
181 5 57
182 109 169
183 77 84
184 64 189
185 191 51
186 41 81
187 120 10
188 105 99
189 35 163
190 60 68
191 186 128
192 129 145
193 35 113
194 22 157
195 111 55
196 97 113
197 79 192
198 126 118
